Regular.Season.or.Playoffs,Year,Team,PG,PG.Height,PG.Age,PG.Experience,PG.GP,PG.Draft.Year,PG.Draft.Pick,PG.Nationality,SG,SG.Height,SG.Age,SG.Experience,SG.GP,SG.Draft.Year,SG.Draft.Pick,SG.Nationality,SF,SF.Height,SF.Age,SF.Experience,SF.GP,SF.Draft.Year,SF.Draft.Pick,SF.Nationality,PF,PF.Height,PF.Age,PF.Experience,PF.GP,PF.Draft.Year,PF.Draft.Pick,PF.Nationality,C,C.Height,C.Age,C.Experience,C.GP,C.Draft.Year,C.Draft.Pick,C.Nationality,Average.Height,Poss,Diff.Rank,Diff,OFFENSE..Pts.Poss.Rank,OFFENSE..Pts.Poss,OFFENSE..eFG..Rank,OFFENSE..eFG.,OFFENSE..TOV..Rank,OFFENSE..TOV.,OFFENSE..ORB..Rank,OFFENSE..ORB.,OFFENSE..FT.Rate.Rank,OFFENSE..FT.Rate,DEFENSE..Pts.Poss.Rank,DEFENSE..Pts.Poss,DEFENSE..eFG..Rank,DEFENSE..eFG.,DEFENSE..TOV..Rank,DEFENSE..TOV.,DEFENSE..ORB..Rank,DEFENSE..ORB.,DEFENSE..FT.Rate.Rank,DEFENSE..FT.Rate,OFFENSE..Rim.Frequency.Rank,OFFENSE..Rim.Frequency,OFFENSE..Short.Mid.Frequency.Rank,OFFENSE..Short.Mid.Frequency,OFFENSE..Long.Mid.Frequency.Rank,OFFENSE..Long.Mid.Frequency,OFFENSE..All.Mid.Frequency.Rank,OFFENSE..All.Mid.Frequency,OFFENSE..Corner.Three.Frequency.Rank,OFFENSE..Corner.Three.Frequency,OFFENSE..Non.Corner.Three.Frequency.Rank,OFFENSE..Non.Corner.Three.Frequency,OFFENSE..All.Three.Frequency.Rank,OFFENSE..All.Three.Frequency,OFFENSE..Rim.FG..Rank,OFFENSE..Rim.FG.,OFFENSE..Short.Mid.FG.Rank,OFFENSE..Short.Mid.FG.,OFFENSE..Long.Mid.FG.Rank,OFFENSE..Long.Mid.FG.,OFFENSE..All.Mid.FG.Rank,OFFENSE..All.Mid.FG.,OFFENSE..Corner.Three.FG.Rank,OFFENSE..Corner.Three.FG.,OFFENSE..Non.Corner.Three.FG.Rank,OFFENSE..Non.Corner.Three.FG.,OFFENSE..All.Three.FG.Rank.,OFFENSE..All.Three.FG.,HALFCOURT..Pts.Play.Rank,HALFCOURT..Pts.Play,HALFCOURT..OREB..Rank,HALFCOURT..OREB.,HALFCOURT....of.Plays.Rank,HALFCOURT....of.Plays,PUTBACKS..Pts.Miss.Rank,PUTBACKS..Pts.Miss,PUTBACKS..Plays.Miss.Rank,PUTBACKS..Plays.Miss,PUTBACKS..Pts.Play.Rank,PUTBACKS..Pts.Play,OFFENSE.TRANSITION..Pts..Poss.Rank,OFFENSE.TRANSITION..Pts..Poss,OFFENSE.TRANSITION..Freq.Rank,OFFENSE.TRANSITION..Freq,OFFENSE.TRANSITION..Pts.Play.Rank,OFFENSE.TRANSITION..Pts.Play,OFFENSE.OFF.STEALS.TRANSITION..Pts..Poss.Rank,OFFENSE.OFF.STEALS.TRANSITION..Pts..Poss,OFFENSE.OFF.STEALS.TRANSITION..Freq.Rank,OFFENSE.OFF.STEALS.TRANSITION..Freq,OFFENSE.OFF.STEALS.TRANSITION..Pts.Play.Rank,OFFENSE.OFF.STEALS.TRANSITION..Pts.Play,OFFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Pts..Poss.Rank,OFFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Pts..Poss,OFFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Freq.Rank,OFFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Freq,OFFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Pts.Play.Rank,OFFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Pts.Play,DEFENSE..Rim.Frequency.Rank,DEFENSE..Rim.Frequency,DEFENSE..Short.Mid.Frequency.Rank,DEFENSE..Short.Mid.Frequency,DEFENSE..Long.Mid.Frequency.Rank,DEFENSE..Long.Mid.Frequency,DEFENSE..All.Mid.Frequency.Rank,DEFENSE..All.Mid.Frequency,DEFENSE..Corner.Three.Frequency.Rank,DEFENSE..Corner.Three.Frequency,DEFENSE..Non.Corner.Three.Frequency.Rank,DEFENSE..Non.Corner.Three.Frequency,DEFENSE..All.Three.Frequency.Rank,DEFENSE..All.Three.Frequency,DEFENSE..Rim.FG..Rank,DEFENSE..Rim.FG.,DEFENSE..Short.Mid.FG.Rank,DEFENSE..Short.Mid.FG.,DEFENSE..Long.Mid.FG.Rank,DEFENSE..Long.Mid.FG.,DEFENSE..All.Mid.FG.Rank,DEFENSE..All.Mid.FG.,DEFENSE..Corner.Three.FG.Rank,DEFENSE..Corner.Three.FG.,DEFENSE..Non.Corner.Three.FG.Rank,DEFENSE..Non.Corner.Three.FG.,DEFENSE..All.Three.FG.Rank.,DEFENSE..All.Three.FG.,DEFENSE.HALFCOURT..Pts.Play.Rank,DEFENSE.HALFCOURT..Pts.Play,DEFENSE.HALFCOURT..OREB..Rank,DEFENSE.HALFCOURT..OREB.,DEFENSE.HALFCOURT....of.Plays.Rank,DEFENSE.HALFCOURT....of.Plays,DEFENSE.PUTBACKS..Pts.Miss.Rank,DEFENSE.PUTBACKS..Pts.Miss,DEFENSE.PUTBACKS..Plays.Miss.Rank,DEFENSE.PUTBACKS..Plays.Miss,DEFENSE.PUTBACKS..Pts.Play.Rank,DEFENSE.PUTBACKS..Pts.Play,DEFENSE.TRANSITION..Pts..Poss.Rank,DEFENSE.TRANSITION..Pts..Poss,DEFENSE.TRANSITION..Freq.Rank,DEFENSE.TRANSITION..Freq,DEFENSE.TRANSITION..Pts.Play.Rank,DEFENSE.TRANSITION..Pts.Play,DEFENSE.OFF.STEALS.TRANSITION..Pts..Poss.Rank,DEFENSE.OFF.STEALS.TRANSITION..Pts..Poss,DEFENSE.OFF.STEALS.TRANSITION..Freq.Rank,DEFENSE.OFF.STEALS.TRANSITION..Freq,DEFENSE.OFF.STEALS.TRANSITION..Pts.Play.Rank,DEFENSE.OFF.STEALS.TRANSITION..Pts.Play,DEFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Pts..Poss.Rank,DEFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Pts..Poss,DEFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Freq.Rank,DEFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Freq,DEFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Pts.Play.Rank,DEFENSE.OFF.LIVE.REBOUNDS.TRANSITION..Pts.Play
Playoffs,2004,DET,Chauncey Billups,75,27,6,78,1997 ,3,United States,Richard Hamilton,79,26,4,78,1999 ,7,United States,Tayshaun Prince,81,24,1,82,2002 ,23,United States,Rasheed Wallace,83,29,8,68,1995 ,4,United States,Ben Wallace,81,29,7,81,"1996 NBA Draft, Undrafted",NA,United States,79.8,930,100,13.5,67,104.1,50,47.4,72,14.7,72,31,61,24.1,83,90.6,89,42.2,72,17.1,61,27.5,50,19.4,50,32.3,39,17.2,72,31.9,50,49.1,56,5.4,39,13.2,39,18.6,33,58,56,37.6,56,39.8,61,39.1,83,47.7,28,28.7,56,34.2,72,85.6,67,31.2,72,78,50,17.5,56,17.8,28,95.9,44,3.9,67,16.5,39,114.4,61,2.5,61,53.8,56,144.7,39,1,56,30.7,39,100,17,37.3,89,16,83,25.7,89,41.7,6,7.7,50,13.3,33,21,94,49.7,83,30,44,40.4,67,36.4,67,33.9,83,23.1,83,27.1,83,72.8,33,29.9,28,79.6,67,17.8,61,16.7,44,104.2,72,2.7,44,14.8,72,109.4,67,1.5,56,48.1,78,125.7,61,1.3,22,31.7,61,104.5
Playoffs,2004,LAL,Gary Payton,76,35,13,82,1990 ,2,United States,Kobe Bryant,78,25,7,65,1996 ,13,United States,Devean George,80,26,4,82,1999 ,23,United States,Karl Malone,81,40,18,42,1985 ,13,United States,Shaquille O'Neal,85,31,11,67,1992 ,1,United States,80,604,56,3.4,56,100.2,83,49.9,39,16.6,50,26.8,39,17.9,61,96.7,50,46.6,61,16.3,44,29.3,67,16.8,83,35.6,83,22.8,17,24.5,39,47.3,22,4.3,33,12.8,28,17.1,61,60.1,61,38.5,61,41.3,78,39.9,56,36.4,67,37.9,72,37.5,56,83.1,56,28.6,11,83.6,72,20.8,72,19.4,44,104,33,3.2,6,10.3,50,123.2,22,1.2,17,34,33,133.3,50,2,17,21.4,72,119.5,72,26.1,17,23.6,56,29.3,44,52.8,17,6.9,39,14.1,28,21,17,61.5,67,33.3,33,41.9,56,38.1,78,31.6,56,33.8,61,33,56,78.6,39,29.5,67,81.6,61,18.6,67,16.2,22,113,61,3.1,67,13.2,61,118.1,56,1.7,61,47.9,33,158.8,56,1.6,44,27.7,50,107.4
Playoffs,2004,MIA,Dwyane Wade,76,22,0,61,2003 ,5,United States,Eddie Jones,78,32,9,81,1994 ,10,United States,Caron Butler,79,23,1,68,2002 ,10,United States,Lamar Odom,82,24,4,80,1999 ,4,United States,Brian Grant,81,31,9,76,1994 ,8,United States,79.2,402,39,1,33,97.3,39,45.6,61,15.7,33,25.6,67,24.2,67,96.3,28,48,89,21.4,11,33.2,61,17.2,33,30.4,28,16.1,100,42.4,94,58.5,6,2,11,9.1,6,11.1,50,58.7,89,43.6,50,37.9,67,39.5,39,28.6,33,29,22,28.9,33,78.5,39,25.3,78,77.8,44,16.6,28,15.1,67,107.7,61,5.2,78,17.9,44,121.9,28,1.7,67,55.8,22,127.3,72,3.5,78,37.8,61,119,78,25.9,33,22.2,61,27.7,67,49.9,39,5.5,11,18.7,6,24.2,22,60.7,44,36.8,83,34.7,72,35.7,50,42.1,28,39.1,28,39.8,33,82.3,11,34.1,94,84.1,72,17.2,44,18.1,56,93.8,94,-0.1,78,12.2,89,92.1,83,0.8,72,44.4,50,133.3,100,-0.6,67,25.2,94,82.1
Playoffs,2004,MIN,Sam Cassell,75,34,10,81,1993 ,24,United States,Latrell Sprewell,77,33,11,82,1992 ,24,United States,Trenton Hassell,77,24,2,81,2001 ,2,United States,Kevin Garnett,83,27,8,82,1995 ,5,United States,Ervin Johnson,83,36,10,66,1993 ,23,United States,79,378,50,1.5,50,99.7,56,48.4,28,17.5,39,25.8,17,13.8,56,98.2,44,46.9,44,15.7,33,30.3,89,14.1,0,22.6,72,22.3,94,41.6,100,63.9,39,4.4,17,9.1,11,13.5,67,61,78,42.1,72,41.5,83,41.7,28,20,83,48.4,78,39.1,50,79.4,44,26.1,56,80.4,56,17.8,39,16.1,56,107.4,72,5.6,61,15.3,83,132.7,67,3.6,72,60.7,83,176.5,61,2.5,50,30,67,119.4,44,30.2,83,16.9,0,41,6,57.9,44,4.8,100,7.1,94,11.9,44,57.9,67,33.3,39,41.4,39,39,56,41.2,39,36,33,38.1,39,81.6,56,28.5,33,79.9,44,19.8,72,15.6,6,125.9,78,2.7,28,15.4,78,105.6,39,2.1,39,51.4,61,129.4,78,0.7,33,29.5,83,94.3
Playoffs,2004,IND,Jamaal Tinsley,75,26,2,52,2001 ,27,United States,Reggie Miller,79,38,16,80,1987 ,11,United States,Metta World Peace,79,24,4,73,1999 ,16,United States,Jermaine O'Neal,83,25,7,78,1996 ,17,United States,Jeff Foster,83,27,4,82,1999 ,21,United States,79.8,356,83,6.6,61,100.3,11,43.9,50,16,89,31.7,78,24.5,72,93.6,72,44.9,56,16,78,25,17,21.3,39,31,94,26,0,21.9,44,48,50,5.3,78,15.7,61,21,44,58.6,39,33.7,11,30,22,32,50,35.3,44,32,50,32.8,39,78.8,78,32.7,39,82.3,89,23.1,50,17.7,89,125.8,28,2.2,22,11.8,33,110.8,11,0.7,6,33.3,17,122.2,56,2.1,28,23.3,50,115.4,56,29.2,61,20.3,28,35.4,28,55.7,83,3,61,12.1,67,15.1,72,55.1,6,43.5,50,39.8,17,41.2,39,44.4,89,21.6,94,26.1,50,79.1,67,27.4,17,78.8,83,13.2,89,14.3,67,90.9,50,4.3,11,17.1,56,118.2,78,1.2,33,53.3,67,128.6,33,3.3,11,34.6,44,117.5
Playoffs,2004,NJN,Jason Kidd,76,30,9,67,1994 ,2,United States,Kerry Kittles,77,29,7,82,1996 ,8,United States,Richard Jefferson,79,23,2,82,2001 ,13,United States,Kenyon Martin,81,26,3,65,2000 ,1,United States,Jason Collins,84,25,2,78,2001 ,18,United States,79.4,316,94,12.5,17,94.3,33,45.1,6,20.9,78,31,94,28.5,100,81.8,100,41,83,21,72,26.3,78,16.1,94,42.7,22,15.4,6,22.9,6,38.3,28,4.3,61,14.6,44,19,22,52.8,17,30.8,67,41.4,39,37.1,56,36.4,11,27,28,29.2,6,70.4,89,33.6,94,72.4,83,22.2,83,20,72,108.3,94,9.1,94,24.1,61,129,89,4.6,100,77.1,44,134.6,94,4.6,83,40.7,78,125.6,61,27.3,50,21,17,36.7,11,57.7,72,4.1,72,10.9,72,15,78,53.4,22,41.1,100,28.6,100,33.1,17,54.5,78,24.1,67,32.5,100,69.6,83,26.1,72,83.1,89,12.9,94,14,72,90.5,89,0.2,50,14.1,94,89.5,89,0.3,17,64.5,94,82.4,89,-0.4,72,23.7,89,89.5
Playoffs,2004,SAC,Mike Bibby,74,25,5,82,1998 ,2,United States,Doug Christie,78,33,11,82,1992 ,17,United States,Peja Stojakovic,82,26,5,81,1996 ,14,SerbiaGreece,Chris Webber,81,31,10,23,1993 ,1,United States,Vlade Divac,85,36,14,81,1989 ,26,Serbia,80,285,17,-6.7,28,96.5,44,46.7,44,16.1,67,30.8,22,15.4,28,103.2,39,47.4,22,14.7,22,31.8,94,13.2,44,31.9,50,17.7,78,34.3,67,52,78,7.1,6,9.1,22,16.1,6,49.4,22,31.1,100,48.3,89,42.4,78,44.4,39,30.4,67,36.6,22,75.8,61,30.4,44,81,78,21.8,78,19.9,56,107.4,67,5.5,56,14.4,72,131.4,50,1.9,56,53.3,11,118.8,78,3.6,22,23.2,100,147.1,67,26.5,44,21.7,22,35.7,17,57.4,50,4.8,67,11.4,61,16.2,39,58.3,28,40.7,17,43.3,11,42.3,89,23.1,50,35.5,72,31.8,17,84.8,22,33.6,39,80,0,27.7,11,21.6,11,124.1,83,1.2,83,11.6,83,103,94,0.2,67,47.8,89,100,72,1,78,22.9,61,104.5
Playoffs,2004,SAC,Mike Bibby,74,25,5,82,1998 ,2,United States,Doug Christie,78,33,11,82,1992 ,17,United States,Peja Stojakovic,82,26,5,81,1996 ,14,SerbiaGreece,Chris Webber,81,31,10,23,1993 ,1,United States,Brad Miller,84,27,5,72,"1998 NBA Draft, Undrafted",NA,United States,79.8,284,67,4.2,89,106.3,100,53.1,56,15.8,0,16.8,89,27.2,33,102.1,61,45.6,17,14,28,30.6,6,24.2,56,32.5,11,13.6,67,30.7,11,44.3,100,8.8,56,14.5,89,23.2,56,59.5,72,38.7,44,37.1,56,37.6,89,50,89,48.5,94,49.1,78,87.9,0,18.5,33,82.3,17,14.7,17,13.5,50,106.7,83,7.1,33,12.7,100,154.5,72,4,33,41.7,94,210,67,3.1,39,25.3,89,131.8,50,29.8,78,18.3,44,31,72,49.2,33,5.6,28,15.5,22,21,83,53.3,39,37,56,39.7,44,38.7,83,28.6,44,35.9,50,34,44,81.2,50,28.6,6,75.5,17,21.6,50,18,17,117.4,39,5.3,33,15.1,50,122.5,72,1.4,94,38.5,83,110,11,3.8,28,30,28,129.6
Playoffs,2004,LAL,Gary Payton,76,35,13,82,1990 ,2,United States,Derek Fisher,73,29,7,82,1996 ,24,United States,Kobe Bryant,78,25,7,65,1996 ,13,United States,Karl Malone,81,40,18,42,1985 ,13,United States,Shaquille O'Neal,85,31,11,67,1992 ,1,United States,78.6,219,44,1.3,78,105.9,94,51.8,94,11.9,11,21.6,100,37.8,17,104.7,78,43.4,28,14.9,17,32.6,11,23.3,11,26.2,61,20.7,56,29.3,56,50,67,6.7,89,17.1,100,23.8,100,79.1,94,47.1,78,41.7,94,43.9,11,9.1,50,32.1,11,25.6,100,95.4,72,31.9,50,80.5,33,16,83,20,6,80,17,1.8,28,12.3,17,107.7,44,1.9,28,38.9,61,150,11,0,33,25,33,95,94,23.8,11,24.3,67,27.7,50,51.9,0,8.7,22,15.5,0,24.3,56,57.1,83,30,28,42.1,61,36.4,94,16.7,33,37.5,78,30,72,77,17,33.6,61,81.3,33,20.9,39,18.8,28,109.1,28,5.9,89,11.2,22,145.5,28,2.4,44,50,44,137.5,22,3.5,83,19.5,11,150
Playoffs,2004,SAS,Tony Parker,74,21,2,75,2001 ,28,France,Bruce Bowen,79,32,8,82,"1993 NBA Draft, Undrafted",NA,United States,Hedo Turkoglu,82,24,3,80,2000 ,16,Turkey,Tim Duncan,83,27,6,69,1997 ,1,United States,Rasho Nesterovic,84,27,5,82,1998 ,17,Slovenia,80.4,197,11,-11.4,44,99,78,49.7,33,16.8,44,26.7,11,13.3,6,110.3,11,53.4,11,13.3,67,27.5,28,21,22,27.2,89,23.1,50,27.7,61,50.9,94,8.7,44,13.3,83,22,0,44.7,50,37.5,78,41.7,72,39.8,72,40,100,60.9,100,52.6,61,83.7,50,27.1,22,82.5,6,12.2,44,16.3,0,73.3,50,4.3,50,13.7,78,131.8,6,0.1,44,45.5,6,100,83,4.2,67,34.9,94,141.2,22,36.4,6,25.6,89,23.3,78,48.9,89,1.1,44,13.6,78,14.8,6,64.1,17,42.2,67,39,22,40.7,22,50,17,45.8,17,46.2,6,94.6,44,28.8,56,80.8,11,21.8,17,20.3,39,106.3,44,4.4,61,13.3,39,128,17,2.6,89,40,6,183.3,67,1.3,39,27.8,56,105.6
