Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Nationality,Draft Year,Draft Pick
2022,Precious Achiuwa,SF,80,244,22,TOR,73,1,Memphis,Nigeria,2020 ,20
2022,Steven Adams,C,83,265,28,MEM,76,8,Pittsburgh,New Zealand,2013 ,12
2022,Bam Adebayo,C,82,255,24,MIA,56,4,Kentucky,United States,2017 ,14
2022,Santi Aldama,C,83,224,21,MEM,32,0,Loyola (MD),Spain,2021 ,30
2022,LaMarcus Aldridge,FC,83,265,36,BRK,47,15,Texas,United States,2006 ,2
2022,Nickeil Alexander-Walker,SG,77,205,23,"NOP, UTH",65,2,Virginia Tech,Canada,2019 ,17
2022,Grayson Allen,SG,76,198,26,MIL,66,3,Duke,United States,2018 ,21
2022,Jarrett Allen,C,83,248,23,CLE,56,4,Texas,United States,2017 ,22
2022,Jose Alvarado,G,72,179,23,NOP,54,0,Georgia Tech,United StatesPuerto Rico,"2021 NBA Draft, Undrafted",NA
2022,Justin Anderson,F,78,230,28,"CLE, IND",16,5,Virginia,United States,2015 ,21
2022,Kyle Anderson,PF,81,230,28,MEM,69,7,UCLA,United States,2014 ,30
2022,Giannis Antetokounmpo,F,83,242,27,MIL,67,8,Filathlitikos Div II Greece (Greece),GreeceNigeria,2013 ,15
2022,Thanasis Antetokounmpo,SF,79,215,29,MIL,48,3,Delaware 87ers,GreeceNigeria,2014 ,42
2022,Carmelo Anthony,F,80,240,37,LAL,69,18,Syracuse,United States,2003 ,3
2022,Cole Anthony,PG,75,195,21,ORL,65,1,North Carolina,United States,2020 ,15
2022,OG Anunoby,SF,79,240,24,TOR,48,4,Indiana,EnglandUnited States,2017 ,23
2022,Ryan Arcidiacono,G,75,195,27,NYK,10,4,Villanova,United States,"2016 NBA Draft, Undrafted",NA
2022,Trevor Ariza,SF,80,215,36,LAL,24,17,UCLA,United States,2004 ,28
2022,D.J. Augustin,G,72,183,34,"HOU, LAL",55,13,Texas,United States,2008 ,9
2022,Deni Avdija,SG,81,210,21,WAS,82,1,Maccabi Tel Aviv U18 (Israel),Israel,2020 ,9
2022,Joel Ayayi,G,76,180,21,WAS,7,0,Gonzaga,France,"2021 NBA Draft, Undrafted",NA
2022,Deandre Ayton,C,85,250,23,PHX,58,3,Arizona,Bahamas,2018 ,1
2022,Udoka Azubuike,C,84,270,22,UTA,17,1,Kansas,Nigeria,2020 ,27
2022,Marvin Bagley III,PF,83,235,22,"DET, SAC",48,3,Duke,United States,2018 ,2
2022,LaMelo Ball,G,79,180,20,CHA,75,1,Illawarra (Australia),United States,2020 ,3
2022,Lonzo Ball,PG,78,190,24,CHI,35,4,UCLA,United States,2017 ,2
2022,Mohamed Bamba,C,84,230,23,ORL,71,3,Texas,United States,2018 ,6
2022,Desmond Bane,SG,78,215,23,MEM,76,1,Texas Christian,United States,2020 ,30
2022,Dalano Banton,PG,79,203,22,TOR,64,0,Nebraska,Canada,2021 ,32
2022,Cat Barber,G,73,173,27,ATL,3,0,NC State,United States,"2016 NBA Draft, Undrafted",NA
2022,Harrison Barnes,SF,80,225,29,SAC,77,9,North Carolina,United States,2012 ,7
2022,Scottie Barnes,SF,80,225,20,TOR,74,0,Florida State,United States,2021 ,4
2022,R.J. Barrett,SG,79,202,21,NYK,70,2,Duke,Canada,2019 ,3
2022,Will Barton,GF,77,181,31,DEN,71,9,Memphis,United States,2012 ,20
2022,Paris Bass,GF,80,200,26,PHX,2,0,Detroit-Mercy,United States,"2017 NBA Draft, Undrafted",NA
2022,Charles Bassey,PF,83,230,21,PHI,23,0,Western Kentucky,NigeriaUnited States,2021 ,46
2022,Keita Bates-Diop,SF,80,230,26,SAS,59,3,Ohio State,United States,2018 ,36
2022,Nicolas Batum,F,80,230,33,LAC,59,13,Le Mans Sarthe Basket (France),France,2008 ,25
2022,Kent Bazemore,GF,76,195,32,LAL,39,9,Old Dominion,United States,"2012 NBA Draft, Undrafted",NA
2022,Darius Bazley,PF,81,216,21,OKC,69,2,,United States,2019 ,23
2022,Bradley Beal,SG,75,207,28,WAS,40,9,Florida,United States,2012 ,3
2022,Malik Beasley,SG,76,187,25,MIN,79,5,Florida State,United States,2016 ,19
2022,Jordan Bell,PF,80,216,27,CHI,1,4,Oregon,United States,2017 ,16
2022,DeAndre' Bembry,GF,77,210,27,"BRK, MIL",56,5,Saint Joseph's,United States,2016 ,21
2022,Davis Bertans,SF,82,225,29,"DAL, WAS",56,5,Union Olimpija (Slovenia),Latvia,2011 ,24
2022,Patrick Beverley,PG,73,180,33,MIN,58,9,Dnipro Dnipropetrovsk (Ukraine),United States,2009 ,24
2022,Saddiq Bey,F,80,215,22,DET,82,1,Villanova,United States,2020 ,19
2022,Khem Birch,PF,80,226,29,TOR,55,4,UNLV,Canada,"2014 NBA Draft, Undrafted",NA
2022,Goga Bitadze,C,83,245,22,IND,50,2,KK Mega Bemax (Serbia),Georgia,2019 ,18
2022,Bismack Biyombo,PF,81,255,29,PHX,36,10,Urbas Fuenlabrada (Spain),Democratic Republic of the Congo,2011 ,7
2022,Nemanja Bjelica,PF,82,235,33,GSW,71,6,KK Crvena Zvezda (Serbia),Serbia,2010 ,10
2022,Eric Bledsoe,PG,73,214,32,LAC,54,11,Kentucky,United States,2010 ,18
2022,Keljin Blevins,G,76,200,26,POR,31,1,Montana State,United States,"2019 NBA Draft, Undrafted",NA
2022,Bogdan Bogdanovic,SG,78,220,29,ATL,63,4,KK Partizan (Serbia),Serbia,2014 ,27
2022,Bojan Bogdanovic,F,80,216,32,UTA,69,7,KK Cibona (Croatia),Bosnia and HerzegovinaCroatia,2011 ,2
2022,Bol Bol,C,86,220,22,DEN,14,2,Oregon,United States,2019 ,28
2022,Leandro Bolmaro,SG,78,200,21,MIN,35,0,FC Barcelona II (Spain),Argentina,2020 ,23
2022,Isaac Bonga,SG,80,180,22,TOR,15,3,Fraport Skyliners (Germany),Germany,2018 ,18
2022,Devin Booker,SG,78,206,25,PHX,68,6,Kentucky,United States,2015 ,13
2022,"B.J. Boston, Jr.",SG,78,188,20,LAC,51,0,Kentucky,United States,2021 ,42
2022,Chris Boucher,PF,81,198,29,TOR,80,4,Oregon,Saint LuciaCanada,"2017 NBA Draft, Undrafted",NA
2022,James Bouknight,G,76,190,21,CHA,31,0,Connecticut,United States,2021 ,11
2022,Avery Bradley,PG,75,180,31,LAL,62,11,Texas,United States,2010 ,19
2022,Tony Bradley,C,82,248,24,CHI,55,4,North Carolina,United States,2017 ,28
2022,Ignas Brazdeikis,SF,78,221,23,ORL,42,2,Michigan,LithuaniaCanada,2019 ,34
2022,Mikal Bridges,SG,79,210,25,PHX,82,3,Villanova,United States,2018 ,10
2022,Miles Bridges,SF,79,225,23,CHA,80,3,Michigan State,United States,2018 ,12
2022,Oshae Brissett,PF,79,210,23,IND,67,2,Syracuse,Canada,"2019 NBA Draft, Undrafted",NA
2022,Malcolm Brogdon,SG,77,229,29,IND,36,5,Virginia,United States,2016 ,12
2022,Armoni Brooks,SG,75,195,23,"HOU, TOR",54,1,Houston,United States,"2019 NBA Draft, Undrafted",NA
2022,Dillon Brooks,F,78,220,26,MEM,32,4,Oregon,Canada,2017 ,30
2022,Greg Brown III,SF,80,200,20,POR,48,0,Texas,United States,2021 ,26
2022,Jaylen Brown,SF,78,220,25,BOS,66,5,California,United States,2016 ,3
2022,"Bruce Brown, Jr.",SG,76,202,25,BRK,72,3,Miami (FL),United States,2018 ,24
2022,"Charlie Brown, Jr.",SG,78,199,25,"DAL, PHL",22,2,Saint Joseph's,United States,"2019 NBA Draft, Undrafted",NA
2022,"Chaundee Brown, Jr.",SF,77,215,23,"ATL, LAL",5,0,Michigan,United States,"2021 NBA Draft, Undrafted",NA
2022,"Troy Brown, Jr.",SF,78,215,22,CHI,66,3,Oregon,United States,2018 ,15
2022,Moses Brown,C,86,245,22,"CLE, DAL",40,2,UCLA,United States,"2019 NBA Draft, Undrafted",NA
2022,Sterling Brown,G,77,219,27,DAL,49,4,Southern Methodist,United States,2017 ,32
2022,Jalen Brunson,PG,73,190,25,DAL,79,3,Villanova,United States,2018 ,6
2022,Thomas Bryant,C,82,248,24,WAS,27,4,Indiana,United States,2017 ,24
2022,Shaq Buchanan,G,75,190,25,MEM,2,0,Murray State,United States,"2019 NBA Draft, Undrafted",NA
2022,Reggie Bullock,SG,78,205,30,DAL,68,8,North Carolina,United States,2013 ,25
2022,Trey Burke,G,72,185,29,DAL,42,8,Michigan,United States,2013 ,9
2022,Alec Burks,SG,78,214,30,NYK,81,10,Colorado,United States,2011 ,12
2022,Jared Butler,PG,75,195,21,UTA,42,0,Baylor,United States,2021 ,20
2022,Jimmy Butler,GF,80,232,32,MIA,57,10,Marquette,United States,2011 ,30
2022,Devontae Cacok,PF,79,240,25,SAS,15,2,UNC Wilmington,United States,"2019 NBA Draft, Undrafted",NA
2022,Kentavious Caldwell-Pope,SG,77,204,29,WAS,77,8,Georgia,United States,2013 ,8
2022,Facundo Campazzo,PG,71,165,30,DEN,65,1,Penarol (Argentina),Argentina,"2013 NBA Draft, Undrafted",NA
2022,Vlatko Cancar,SF,80,236,24,DEN,15,2,KK Mega Bemax (Serbia),Slovenia,2017 ,38
2022,Devin Cannady,PG,73,190,25,ORL,5,1,Princeton,United States,"2019 NBA Draft, Undrafted",NA
2022,Clint Capela,PF,82,240,27,ATL,74,7,Chalon-Sur-Saone (France),Switzerland,2014 ,25
2022,"Vernon Carey, Jr.",PF,81,270,21,"CHA, WAS",7,1,Duke,United States,2020 ,4
2022,Jevon Carter,PG,73,195,26,"BRK, MIL",66,3,West Virginia,United States,2018 ,4
2022,"Wendell Carter, Jr.",PF,82,265,22,ORL,62,3,Duke,United States,2018 ,7
2022,Alex Caruso,G,77,186,28,CHI,41,4,Texas A&M,United States,"2016 NBA Draft, Undrafted",NA
2022,Willie Cauley-Stein,C,84,240,28,"DAL, PHL",20,6,Kentucky,United States,2015 ,6
2022,Ahmad Caver,PG,74,174,25,IND,1,0,Old Dominion,United States,"2019 NBA Draft, Undrafted",NA
2022,Justin Champagnie,F,78,210,20,TOR,36,0,Pittsburgh,United States,"2021 NBA Draft, Undrafted",NA
2022,Zylan Cheatham,SF,77,220,26,UTA,1,1,Arizona State,United States,"2019 NBA Draft, Undrafted",NA
2022,Chris Chiozza,PG,71,179,26,GSW,34,3,Florida,United States,"2018 NBA Draft, Undrafted",NA
2022,Marquese Chriss,PF,81,240,24,DAL,34,5,Washington,United States,2016 ,8
2022,Josh Christopher,G,77,215,20,HOU,74,0,Arizona State,United States,2021 ,24
2022,Gary Clark,SF,78,225,27,NOP,38,3,Cincinnati,United States,"2018 NBA Draft, Undrafted",NA
2022,Brandon Clarke,PF,80,210,25,MEM,64,2,Gonzaga,Canada,2019 ,21
2022,Jordan Clarkson,G,77,192,29,UTA,79,7,Missouri,United StatesPhilippines,2014 ,32
2022,Nicolas Claxton,C,83,226,22,BRK,47,2,Georgia,United StatesU.S. Virgin Islands,2019 ,2
2022,Amir Coffey,SF,79,210,24,LAC,69,2,Minnesota,United States,"2019 NBA Draft, Undrafted",NA
2022,John Collins,PF,81,235,24,ATL,54,4,Wake Forest,United States,2017 ,19
2022,Zach Collins,C,83,250,24,SAS,28,4,Gonzaga,United States,2017 ,10
2022,Darren Collison,PG,72,175,34,LAL,3,10,UCLA,United States,2009 ,21
2022,Mike Conley,PG,73,175,34,UTA,72,14,Ohio State,United States,2007 ,4
2022,Pat Connaughton,SF,76,209,29,MIL,65,6,Notre Dame,United States,2015 ,22
2022,Tyler Cook,C,80,255,24,CHI,20,2,Iowa,United States,"2019 NBA Draft, Undrafted",NA
2022,Sharife Cooper,PG,73,180,20,ATL,13,0,Auburn,United States,2021 ,36
2022,Petr Cornelie,C,83,220,26,DEN,13,0,Le Mans Sarthe Basket (France),France,2016 ,46
2022,DeMarcus Cousins,C,83,270,31,"DEN, MIL",48,11,Kentucky,United States,2010 ,5
2022,Robert Covington,F,79,209,31,"LAC, POR",71,8,Tennessee State,United States,"2013 NBA Draft, Undrafted",NA
2022,Torrey Craig,GF,79,221,31,"IND, PHX",78,4,USC Upstate,United States,"2014 NBA Draft, Undrafted",NA
2022,Jae Crowder,SF,78,235,31,PHX,67,9,Marquette,United States,2012 ,8
2022,Jarrett Culver,SG,78,195,23,MEM,37,2,Texas Tech,United States,2019 ,6
2022,Jarron Cumberland,SG,77,205,24,POR,3,0,Cincinnati,United States,"2020 NBA Draft, Undrafted",NA
2022,Cade Cunningham,SF,78,220,20,DET,64,0,Oklahoma State,United States,2021 ,1
2022,Seth Curry,G,73,190,31,"BRK, PHL",64,8,Duke,United States,"2013 NBA Draft, Undrafted",NA
2022,Stephen Curry,G,75,198,33,GSW,64,12,Davidson,United States,2009 ,7
2022,Anthony Davis,PF,82,253,28,LAL,40,9,Kentucky,United States,2012 ,1
2022,Ed Davis,PF,81,218,32,CLE,31,11,North Carolina,United States,2010 ,13
2022,Terence Davis,SF,76,201,24,SAC,30,2,Ole Miss,United States,"2019 NBA Draft, Undrafted",NA
2022,Javin DeLaurier,PF,82,215,23,MIL,1,0,Duke,United States,"2020 NBA Draft, Undrafted",NA
2022,DeMar DeRozan,GF,78,220,32,CHI,76,12,USC,United States,2009 ,9
2022,Gabriel Deck,F,80,232,27,OKC,7,1,Quimsa (Argentina),Argentina,"2017 NBA Draft, Undrafted",NA
2022,Dewayne Dedmon,PF,84,245,32,MIA,67,8,USC,United States,"2013 NBA Draft, Undrafted",NA
2022,Sam Dekker,SF,81,230,27,TOR,1,4,Wisconsin,United States,2015 ,18
2022,Donte DiVincenzo,SG,76,206,25,"MIL, SAC",42,3,Villanova,United States,2018 ,17
2022,Mamadi Diakite,PF,81,224,25,OKC,13,1,Virginia,Guinea,"2020 NBA Draft, Undrafted",NA
2022,Cheick Diallo,PF,80,219,25,DET,3,4,Kansas,Mali,2016 ,6
2022,Hamidou Diallo,SG,77,202,23,DET,58,3,Kentucky,United StatesGuinea,2018 ,30
2022,Gorgui Dieng,FC,82,250,32,ATL,44,8,Louisville,Senegal,2013 ,21
2022,Spencer Dinwiddie,PG,77,215,28,"DAL, WAS",67,7,Colorado,United States,2014 ,16
2022,Luka Doncic,SF,79,230,23,DAL,65,3,Real Madrid (Spain),Slovenia,2018 ,3
2022,Luguentz Dort,PG,76,220,22,OKC,51,2,Arizona State,Canada,"2019 NBA Draft, Undrafted",NA
2022,Ayo Dosunmu,PG,76,200,22,CHI,77,0,Illinois,United States,2021 ,16
2022,Damyean Dotson,SG,77,205,27,NYK,2,4,Houston,United States,2017 ,28
2022,Devon Dotson,PG,73,185,22,CHI,11,1,Kansas,United States,"2020 NBA Draft, Undrafted",NA
2022,Sekou Doumbouya,F,80,235,21,LAL,2,2,CSP Limoges (France),FranceGuinea,2019 ,15
2022,Jeff Dowtin,PG,75,185,24,"GOS, MIL, ORL",9,0,Rhode Island,United States,"2020 NBA Draft, Undrafted",NA
2022,P.J. Dozier,PG,78,205,25,DEN,18,4,South Carolina,United States,"2017 NBA Draft, Undrafted",NA
2022,Goran Dragic,G,75,190,35,"BRK, TOR",21,13,Union Olimpija (Slovenia),Slovenia,2008 ,30
2022,Andre Drummond,C,82,279,28,"BRK, PHL",73,9,Connecticut,United States,2012 ,9
2022,Chris Duarte,PG,78,190,24,IND,55,0,Oregon,CanadaDominican Republic,2021 ,13
2022,David Duke,SG,76,207,22,BRK,22,0,Providence,United States,"2021 NBA Draft, Undrafted",NA
2022,Kris Dunn,SG,75,205,27,POR,14,5,Providence,United States,2016 ,5
2022,Kevin Durant,SF,82,225,33,BRK,55,14,Texas,United States,2007 ,2
2022,Jaime Echenique,C,83,258,24,WAS,1,0,Wichita State,Colombia,"2020 NBA Draft, Undrafted",NA
2022,Anthony Edwards,SF,77,229,20,MIN,72,1,Georgia,United States,2020 ,1
2022,Carsen Edwards,PG,71,200,23,DET,4,2,Purdue,United States,2019 ,6
2022,Kessler Edwards,SG,80,214,21,BRK,48,0,Pepperdine,United States,2021 ,28
2022,Rob Edwards,SG,77,205,25,OKC,2,0,Arizona State,United States,"2020 NBA Draft, Undrafted",NA
2022,C.J. Elleby,SF,78,200,21,POR,58,1,Washington State,United States,2020 ,32
2022,Wayne Ellington,SG,76,207,34,LAL,43,12,North Carolina,United States,2009 ,28
2022,Joel Embiid,C,84,280,27,PHI,68,7,Kansas,Cameroon,2014 ,3
2022,James Ennis,GF,78,215,31,"BRK, DEN, LAC",7,7,Long Beach State,United States,2013 ,40
2022,Drew Eubanks,C,81,245,25,"POR, SAN",71,3,Oregon State,United States,"2018 NBA Draft, Undrafted",NA
2022,Tacko Fall,C,90,250,26,CLE,11,2,UCF,Senegal,"2019 NBA Draft, Undrafted",NA
2022,Derrick Favors,FC,82,265,30,OKC,39,11,Georgia Tech,United States,2010 ,3
2022,Bruno Fernando,C,81,240,23,"BOS, HOU",30,2,Maryland,Angola,2019 ,8
2022,Dorian Finney-Smith,SF,79,220,28,DAL,80,5,Florida,United States,"2016 NBA Draft, Undrafted",NA
2022,Malik Fitts,SF,80,230,24,"BOS, UTH",15,1,Saint Mary's,United States,"2020 NBA Draft, Undrafted",NA
2022,Malachi Flynn,PG,73,176,23,TOR,44,1,San Diego State,United States,2020 ,29
2022,Bryn Forbes,G,74,205,28,"DEN, SAN",75,5,Michigan State,United States,"2016 NBA Draft, Undrafted",NA
2022,Aleem Ford,SF,80,220,24,ORL,5,0,Wisconsin,United StatesPuerto Rico,"2021 NBA Draft, Undrafted",NA
2022,Trent Forrest,SG,76,210,23,UTA,60,1,Florida State,United States,"2020 NBA Draft, Undrafted",NA
2022,Evan Fournier,SG,79,205,29,NYK,80,9,Poitiers Basket 86 (France),France,2012 ,20
2022,De'Aaron Fox,PG,75,185,24,SAC,59,4,Kentucky,United States,2017 ,5
2022,"Melvin Frazier, Jr.",SF,77,215,25,OKC,3,2,Tulane,United States,2018 ,10
2022,Tim Frazier,G,72,172,31,"CLE, ORL",12,7,Penn State,United States,"2014 NBA Draft, Undrafted",NA
2022,Enes Freedom,F,82,250,29,BOS,35,10,Kentucky,SwitzerlandTurkey,2011 ,3
2022,Markelle Fultz,PG,76,210,23,ORL,18,4,Washington,United States,2017 ,1
2022,Wenyen Gabriel,PF,81,205,24,"BRK, LAC, LAL",26,3,Kentucky,South Sudan,"2018 NBA Draft, Undrafted",NA
2022,Daniel Gafford,C,82,234,23,WAS,72,2,Arkansas,United States,2019 ,16
2022,Danilo Gallinari,SF,82,233,33,ATL,66,13,AX Armani Exchange Milan (Italy),Italy,2008 ,6
2022,Langston Galloway,G,73,200,30,"BRK, MIL",7,7,Saint Joseph's,United States,"2014 NBA Draft, Undrafted",NA
2022,Darius Garland,G,73,186,22,CLE,68,2,Vanderbilt,United States,2019 ,5
